version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,starter,both,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdfd80b3879531dfe64e2c1903f39fe0facc08f9bed6fcc064b33f5,eb3e2243f23747297c1204e5e56f852f5e869f00cb97baae7786baefcabbc419,baseline,Baseline starter measurement,tool_routing_accuracy,N/A,1.0,runs/v0_B_base_gemini_20260914T183601094112.json
v3,team,both,v3+pcc974837b2e7+t1fae8352617c,cc974837b2e781ab25c909158dd2a6128484930e5889754d4fbf0f3ed1ea3ec0,1fae8352617cf8b4e23716c1a0aff83f65678497acf389faba802b30c78049ff,integrated_enhancements,Standardized schemas and explicit guardrails improve routing on multi-turn and complex requests,tool_routing_accuracy,0.70,0.90,runs/v3_B_group_gemini_20260915T093510097782.json
